id,essay,prompt,score,score_predict
1081,"[T]Historias sobre animais
[P]Era umz vez, uma menina que leu um livro
sobre animais de baixo de uma árvore e ela
descobriu que os animais falavam e tanbem
as zebras, e lefantes, leãos, crocodilos e hinpopótamo
e os animais foram atras de água e os elefantes
foram atras de água e com seguiram achar águas
e todos viveram felizes para sempre.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",5.0,8.259645
117,"[?]
Eu e minha irmã decidimos fazer desenhos. Primeiro eu com
minha mente criativa comecei desenhando um linda paisagem 
então minha irmã quis desenhar na parede e ela se inspiro
u [X] animais istintos a muitos anos. então eu decidi fazer
mais desenhos. Dessa vez decidi também desenharna parede.
Mas então lembrei que a tinta era permanente . Então come
cei a tentar esfregar com força. Fiz com tanta força que mi-
nha mão ficou vermelha e dolorida e então minha irmã 
começou a me ajudar a esfregar. Então nossa mãe viu e eu 
e minha irmã tentamos nos explicar, mais ela disse super
calma:
-meninas, não preocupem eu vim dar a noticia que iriam 
pintar a casa. Nessa hora eu tive um alivio imediato e minha irmã tambem. Então quando terminaram a pintura eu e mi
nha irmã aprendemos ema lição, que não devemos fazer tu-
do que pensamos. No dia seguinte pedimos para nossa mãe com-
prar tinta, pois havia acabado naquele dia, então quando ela chegou em casa nós fomos correndo na direção dela e ela havia comprado
apenas as tinats das cores azul, amarelo e vermelho, então pensei 
que os desenhos picariam feios e sem cores mais minha irmã disse:
-Ana nós podemos misturar cores e formamos outras cores. Então eu
disse para ela:
-Verdade! você é um gênio. Então eu comecei a desenhar frutas 
e ela quis desenhar as princesas da disney.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",6.5,8.487362
46,"Chovia muito naquele dia, com trovões muito
altos, vindos do ceu. E depois que a chuva passou,
encontrei no quintal da minha casa
uma pedra muito brilhante. Era um
diamante.","Chovia muito naquele dia, com trovões muito altos, vindos do céu. E depois que a chuva passou, encontrei no quintal da minha casa uma pedra muito brilhante.",6.0,9.832879
1044,"[T]A unina pintora tinha uma ga
[?]
[P]tora ela tinha uma amiga que
Chamava Larisa, ela tinha inveija de 
tudo que [S] ela tin a, ela queria ter.
[?]
Conseguiu Um Computador, é logico que tudo
[P]que a Larisa tinha, a amiga pintora [?]
tinha, ela não gostava da amiga dela
de geito nenhum, ela fazia de tudo para
acabar com a sua fama Mas, não consigia
ate que um dia, a sua amiga invejosa
fez Um plano para acabar com a sua
fama , ela planeijau, que ela falace para 
seus fam, que ela sofreu asidente , e que
não podia desenha e Nem fazer quadros
para vender, e ta nbém Não podia i em
shou para vemder e Nem para tirar foto
pasaram augus dias, e ela ficou sabemdo 
de tudo , ate que ela acabou contando 
para seu fans armarem um plano, e tudo
carreu Muito serto. ate que a sua amiga
inveijosa pediu descupa , por tudo que 
ela tinha fazido. ate que todos os
fam falaram para não aseitar a lescupa
dela , mas a sua amiga pintora largou
todos is fans . para ficar Com
sua. amiga inveijosa , a sua
[P]ga inveijosa pediu descupa [?]
[?] que ela fez [?] e [?] eito fim","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",5.5,7.98102
201,"[T] A MENINA E A TINTA
[P] [X] EU ENCONTREI WM CIMA DO ARMÁRIO ALGUNS
POTES COM TINTA ENTÃO, RESOLVI PINTAR NA PAREDE DO 
MEU QUARTO, NÃO HAVIA MAIS NENHUMA PINTURAS E AS [?]
DA GAVETA ESTAVAM ESPALHADA PELO CHÃO.
[P] MAIS SÓ QUA A MENINA BRINCAVA MUITO, MAIS 
ELA ERA MUITO BOZINHA COM A MÃE DELA.
[P] A MENINA PEGOU TODAS TINTA PARA ELA BRINCAR .
MAIS A HORA QUE A MÃE DELA FALOU
QUE ERA PARA GUARDA MAIS ELA. NÃO QUIS QUARDA E A MÃE 
E A MÃE DELA PEGOU E GUARDO PARA ELA COMER SE NÃO 
ELA NÃO VAI COMER A COMIDA ELA VAI QUERER BRINCAR 
[P] ANTES DELA COMER A MÃE DELA FALOU PARA ELA
COMER TUDO
[P] E ELA FOI COMER A COMIDA E ELA COMEU TUDO
EI DEPOIS A MÃE DEVOLVEU A TINTA DE PARA ELA BRINCR 
E DEPOIS E ELA FOI DURMI E ACORDOU OUTRO DIA E ELA
DORMIU BASTANTE E DEPOIS QUE ELA ACORDOU ELA FOI TOMAR 
CAFE DEPOIS [X] DEPOIS FOI BRINCAR NO  BLANÇO E DEPOIS 
FOI NA CASA DA SUA VÔ COM A PRIMA DELA E ELA ESQUECEU 
A TINTA QUE SUA MÃE GUARDOU ELA FOI DORMIR NA CASA
DA SUA AMIGA E DEPOIS NO OUTRO DIA ELA FALOU PARA SUA 
MAÊ TE BUSCAR QUE ELA FICOU COM MEDO DE IR EM BORA 
SOZINHA E DEPOIS QUE ELA. CHEGOO EM CASA ELA PEDIU DESCUPA PARA MÃE 
E A SUA MÃE FALOU DESCULPADO NÃO FAZ MAIS ISSO E
MUITO FEIO ISSO PARA MÃE.
E ELAS FOI NA PICSINA FELIZ PARA SEMPRE.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",6.0,8.06168
795,"[T] Tirtas
minha mãe comprou muitas
tirtas no meu aniversario no
começo achei chato depois que as
minhas amigas orão ibora eu 
fui para cama no outro dia fui 
e veros os presentes eu amei!
esepresste o que eu mais queria
uma lol filha e voce viu opre
sete que eu dei sim mais eu
nõa gostei depois de muitos
dias todos os briquedos tinha
sumido ounico briqueo foi
astirtas ela falo eu vo pirta
a Parede do meu quato [X]
ideich","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",6.0,7.9008913
267,"[T] A historia da nimi
ela gosta. de pimtar. ella desenhou. no
cuarto de la animais e les tem vida
ele comesaro  ando pelo [X] [?] 
a mimi ia [X] procuarto e la abriu a
porta e ela viu o umimau [X]  [?]
eles ficaro dindo ela ela a cordou ela 
dis o qe qe a com diuseu ela [X] dise emesmo
ela dise o","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",4.5,7.9157715
418,"[T] Animais magicos 
[P] Então ela foi arrumar a bagunsa antes que sua mãe chegase.
Quando ela estava na metade de terminar, e ela escuta os pra-
tos quebrando e sua mãe chegando da compra, então ela correu
para dizer oque estava acontecendo.
[P] Quando ela viu  sua mãe disse: — Mãe tem um monstro no
meu quarto e na casa toda e também apagou o desenho que eu fiz
no meu quarto, quando ela disse isso ela correu para dentro de
casa, quando ela olha para ensima do armario e diz para a
filha dela: — você pegou unas tintas estava ensima do  armario e a
filha dela disse que sim 
[P] Então a mãe dela disse que as tintas som magicas e perguntou 
o que ela desenhou e ela disse que foi varios animais, quando 
ela disse isso corri para fazer comida porque eles saiam em-
bora se eles tivesem sem fome aguma
 [P] Quando a mãe dela terminou de fazer a levou a filha
dela embora de casa e tinha que pasar um dia fora para
os animais irem embora, quando foi no outro dia elas
voutaram para casa, quando foi no outro dia elas
então ela jogou o pote de tinta no lixo e elas viveram 
felizes para sempre.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",7.5,8.230191
1017,"[T]A menina e a arte 
Era uma vez uma menina 
Que tinha 10 anos e ela amava Pintar 
Ela Pintava as Paredes ela Pintava 
O chão ia as camisas Branca. 
um dia acabou! todas as tintas
e a menina foi Pedir a 
sua mãe! mamãe me der dinheiro 
a mãe disse: claro mais Para que 
filha Para mim Pintar mamãe 
a mamãe mim desculpe: Pintei 
todas as nossas camisas Brancas 
a mãe disse: deixa mim ver 
a mãe n]ao ficou Brava a mãe 
achou o desenho lindo ! Porque 
a mãe, disse: filha eu amei
Porque? eu achava as camisas
Brancas Sem graça e filha 
vou compra mais camisas Brancas 
[?] a filha disse: Obrigada 
[?] [?] é a melhor obrigada
e [?] nas camisas e até vendeu
[?] ate um estilista de Roupas foi la e 
as Roupas e fez um Sucesso fim.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",6.5,7.8738327
446,"[T] As pinturas misteriosas
[P] Eu encontrei no canto do meu quintal um balde de
tinta e resolvi fazer quadros de animais na sala
com meu irmão de 8 anos. Quando eu terminei eu e 
o meu irmão fomos beber água, quando voltamos, os
animais tinham saído. Eles tinham comido todas as
plantas da horta e do quintal, toda comida da
geladeira. Eu e meu irmão saímos para comprar
de carro, quando chegamos no mercado os animais
tinham nos perseguido, os guardas não conseguirão
os animais, e eles destruíram o mercado.
Depois chegaram 100 policiais e conseguiram pegar
os animais e eu recebi uma multa de 10.000 reais 
por deixar os animais soltos na cidade, depois os
mas voltaram a ser pinturas para sempre.","Eu encontrei em cima do armário alguns potes com tinta. Então resolvi pintar na parede do meu quarto alguns animais. Tempo depois, quando voltei no quarto, não havia mais nenhuma pintura e as roupas da gaveta estavam espalhadas pelo chão.",6.5,8.677858
